nohup: ignoring input
iteration=0 	 commit=d2533b96f32bd345fc5516a068799c5f0d4514ee 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=ddabd0c70ac807101883b49d951470330ced2bae 	 equal=1 	 total=1 	 percentage=100.0
iteration=2 	 commit=945759162e02035cd420a251b01f40540bc9ac42 	 equal=2 	 total=2 	 percentage=100.0
iteration=3 	 commit=bcb739a864fda20dd6f3d54a4e0d4b8b7de1e399 	 equal=2 	 total=3 	 percentage=66.66666666666666
iteration=4 	 commit=90b437e37253e09fd82e862e29086034a62b1561 	 equal=3 	 total=4 	 percentage=75.0
iteration=5 	 commit=ab3ea490fd050890312344a972dd88c10eb95bd5 	 equal=4 	 total=5 	 percentage=80.0
iteration=6 	 commit=d19e8b9a4b15311408112482e75d3eef82ece5ba 	 equal=5 	 total=6 	 percentage=83.33333333333334
iteration=7 	 commit=c5f801c82b94a5c2654f8ab1d55b4324ba1069e7 	 equal=6 	 total=7 	 percentage=85.71428571428571
iteration=8 	 commit=7b8b7115d905c03298327b1a5479bc5749b9c11d 	 equal=7 	 total=8 	 percentage=87.5
iteration=9 	 commit=646fad9d554e5d523f79b9574a82b4cec28c2ed2 	 equal=7 	 total=9 	 percentage=77.77777777777779
iteration=10 	 commit=06ec4252a45161b6afc928f4ba765fb183104c35 	 equal=8 	 total=10 	 percentage=80.0
iteration=11 	 commit=33848546a3b59929f5c1c528cf68d8a5c25556dc 	 equal=9 	 total=11 	 percentage=81.81818181818183
iteration=12 	 commit=fa2f72258a4ff4b75474f6c3197dd06a96c01377 	 equal=10 	 total=12 	 percentage=83.33333333333334
iteration=13 	 commit=7653aaa4b1a0accc3463a567a9f78a766ca1a5db 	 equal=10 	 total=13 	 percentage=76.92307692307693
iteration=14 	 commit=c362a8c80ef1141510378a3e5759f5ab493c1f5f 	 equal=11 	 total=14 	 percentage=78.57142857142857
iteration=15 	 commit=c339da7fc27d5d61632233b37bc36418f2ab7de1 	 equal=11 	 total=15 	 percentage=73.33333333333333
iteration=16 	 commit=33787340a4efba17e7eb280e0cfe385b33285ea0 	 equal=12 	 total=16 	 percentage=75.0
iteration=17 	 commit=cf713fb0ab5854c6d8ccb9c17420f78afbc77908 	 equal=12 	 total=17 	 percentage=70.58823529411765
iteration=18 	 commit=c82ae40e9f7ac15e5f58492955ea9c6d8bdc72a7 	 equal=12 	 total=18 	 percentage=66.66666666666666
iteration=19 	 commit=099558d1003c794049d65b3ea70275ec731ad77c 	 equal=12 	 total=19 	 percentage=63.1578947368421
iteration=20 	 commit=8ed418b042ac58fdd8da2818917cd2f478cbe466 	 equal=12 	 total=20 	 percentage=60.0
iteration=21 	 commit=39d84f4f6abd8b4f537e4e06d67b3b1907116bec 	 equal=12 	 total=21 	 percentage=57.14285714285714
iteration=22 	 commit=c5c778bcfc21182cf3896dcfa044e494d4f9b96c 	 equal=12 	 total=22 	 percentage=54.54545454545454
iteration=23 	 commit=1ebe4f75cc71de97bd97b8bd7347224e004fb2fe 	 equal=12 	 total=23 	 percentage=52.17391304347826
iteration=24 	 commit=13bc0b6b1f8f2f2491fcc9f0c1c939ff06e13c15 	 equal=12 	 total=24 	 percentage=50.0
iteration=25 	 commit=fcd1bb93124d76059abef98216d8390f520c577b 	 equal=12 	 total=25 	 percentage=48.0
iteration=26 	 commit=c33d62498877e95e0657fc82d9cc469bdeac6f66 	 equal=12 	 total=26 	 percentage=46.15384615384615
iteration=27 	 commit=0ec733ce617d1962600a8f87a8e5691ff4686d7f 	 equal=13 	 total=27 	 percentage=48.148148148148145
iteration=28 	 commit=dbdeb1f3facc1fe5e68324526b315f50f69880b1 	 equal=13 	 total=28 	 percentage=46.42857142857143
iteration=29 	 commit=3d7f3e57b5e98c3a71f4d3e9f36a983c64f8164d 	 equal=13 	 total=29 	 percentage=44.827586206896555
iteration=30 	 commit=a64c8ca9e94c6bb620235daa164cf8157a01b302 	 equal=13 	 total=30 	 percentage=43.333333333333336
iteration=31 	 commit=378e926d788366fb352461adcbaf4960a8311877 	 equal=14 	 total=31 	 percentage=45.16129032258064
iteration=32 	 commit=3a957dd96fa40164da8e64aae800dcbf8c607aad 	 equal=15 	 total=32 	 percentage=46.875
iteration=33 	 commit=554d4400ab4200075a5e074b6f88aafe783e8e3a 	 equal=15 	 total=33 	 percentage=45.45454545454545
iteration=34 	 commit=2037030d50a511b1d8a2e593adda205b822d0fbc 	 equal=15 	 total=34 	 percentage=44.11764705882353
iteration=35 	 commit=207392821de25b038b16fb0cea3cf02c574f0753 	 equal=16 	 total=35 	 percentage=45.714285714285715
iteration=36 	 commit=2dca15686fadb1b8951cb29b02bad4cae73448da 	 equal=17 	 total=36 	 percentage=47.22222222222222
iteration=37 	 commit=469317d9bd4d5ca442b32949fa26abcef16948b8 	 equal=17 	 total=37 	 percentage=45.94594594594595
iteration=38 	 commit=894a9869dd60a1774374696a112de71bf538c1da 	 equal=17 	 total=38 	 percentage=44.73684210526316
iteration=39 	 commit=c14be734288b9363c9d32004026bb4aa6eb52df1 	 equal=17 	 total=39 	 percentage=43.58974358974359
iteration=40 	 commit=2dbef2f2a9e759a80d2decb6862518acf4919c59 	 equal=18 	 total=40 	 percentage=45.0
iteration=41 	 commit=4ac8b5e0d6af292f524da820177aa8ada4433e44 	 equal=18 	 total=41 	 percentage=43.90243902439025
iteration=42 	 commit=9d4215e6c012159b93e13652ff7c7a7b72e9fd1f 	 equal=18 	 total=42 	 percentage=42.857142857142854
iteration=43 	 commit=d683af0f12e75b8a3f67cd693eede34c4704cac9 	 equal=19 	 total=43 	 percentage=44.18604651162791
iteration=44 	 commit=095b4ce16bb46acb259ea1a4ca6562a623e58d93 	 equal=20 	 total=44 	 percentage=45.45454545454545
iteration=45 	 commit=bfdabdacff713fe4dec914c048d6a88441f834cb 	 equal=20 	 total=45 	 percentage=44.44444444444444
iteration=46 	 commit=6f89dff45ed640d09baa9b7dcfdc9afa69f600d5 	 equal=20 	 total=46 	 percentage=43.47826086956522
iteration=47 	 commit=d930d36155fe79b277c11d868572769cb4ffb586 	 equal=21 	 total=47 	 percentage=44.680851063829785
iteration=48 	 commit=a1fe2c98489519d415b72bc0026f0c86d82278b7 	 equal=21 	 total=48 	 percentage=43.75
iteration=49 	 commit=6b53a5ed7ba7d50616f1abeb995b76cd7a23e301 	 equal=21 	 total=49 	 percentage=42.857142857142854
iteration=50 	 commit=70041f4038e722dda7c58ba587fe2ffdb462a8e6 	 equal=22 	 total=50 	 percentage=44.0
