nohup: ignoring input
iteration=0 	 commit=4568762d28291679f6e4ed36ee65b21cfee14674 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=0740c627004b9ba4cb453e017bd5a4f9c3f3ecc1 	 equal=0 	 total=1 	 percentage=0.0
iteration=2 	 commit=38f49403bdb5455a40f7374678c5d6cd526054d5 	 equal=0 	 total=2 	 percentage=0.0
iteration=3 	 commit=8f1150eb7508e125e9a626e452874dadff7cdf27 	 equal=0 	 total=3 	 percentage=0.0
iteration=4 	 commit=c10930a4fc8727a152fb679591970141e5c6fb42 	 equal=0 	 total=4 	 percentage=0.0
iteration=5 	 commit=bff81bdddc8b22ab3aee2da4fc6496e589c615ff 	 equal=0 	 total=5 	 percentage=0.0
iteration=6 	 commit=be3977de2c3214f9ca9b193d4169f7719d99a760 	 equal=0 	 total=6 	 percentage=0.0
iteration=7 	 commit=67f101e6c9e7f69d4240ba97ca580fd8d7fb0597 	 equal=0 	 total=7 	 percentage=0.0
iteration=8 	 commit=b6f0a641cbd40cd3835e6daf74ae7fc576783799 	 equal=0 	 total=8 	 percentage=0.0
iteration=9 	 commit=81dfd007b28a13912d931dbaef7c53d0dcd7a38b 	 equal=0 	 total=9 	 percentage=0.0
iteration=10 	 commit=1f23775d10f83ac6eb8e628f4606a80b8f3f3ca9 	 equal=1 	 total=10 	 percentage=10.0
iteration=11 	 commit=84092bbf29cc576da1908ad5e2c55b5b9cc5dacf 	 equal=2 	 total=11 	 percentage=18.181818181818183
iteration=12 	 commit=1658e602c6231c87f46e67bae301ab2046914106 	 equal=2 	 total=12 	 percentage=16.666666666666664
iteration=13 	 commit=83b132f14d672ff7141af7d81358da13a5c4c747 	 equal=2 	 total=13 	 percentage=15.384615384615385
iteration=14 	 commit=1f63da349b8864f4b89d261d4d9bd22133e28088 	 equal=3 	 total=14 	 percentage=21.428571428571427
iteration=15 	 commit=44db02364ec63f491ae6b3a70f4495b7f200f708 	 equal=4 	 total=15 	 percentage=26.666666666666668
iteration=16 	 commit=3f8a2ed6008833be12513a2767f49aa7cc3fc860 	 equal=5 	 total=16 	 percentage=31.25
iteration=17 	 commit=30145f29c5f571f805febdb9a15093c12505c8d4 	 equal=5 	 total=17 	 percentage=29.411764705882355
iteration=18 	 commit=d56af331e1980c584ba1125c74ce787914f4d63a 	 equal=6 	 total=18 	 percentage=33.33333333333333
iteration=19 	 commit=1c6e5f8caae66f45bfe76d59632aebf95c6c66d9 	 equal=6 	 total=19 	 percentage=31.57894736842105
iteration=20 	 commit=27ae9362d8c5e998de57fd14f5235915d9e7b995 	 equal=6 	 total=20 	 percentage=30.0
iteration=21 	 commit=88507b4ef9f94308d39f60b57dd2031fde9551ef 	 equal=7 	 total=21 	 percentage=33.33333333333333
iteration=22 	 commit=0f6303301f1fe89618497cf3d1887f1a3f67ea2e 	 equal=8 	 total=22 	 percentage=36.36363636363637
iteration=23 	 commit=aaf1bb1ae17e025143114a4b1967544f26ee67c9 	 equal=9 	 total=23 	 percentage=39.130434782608695
iteration=24 	 commit=b5596712fc449773630131a79418182f19dd2270 	 equal=10 	 total=24 	 percentage=41.66666666666667
iteration=25 	 commit=503a49458b64ae5e0121c8845e62c44a7b2760bd 	 equal=11 	 total=25 	 percentage=44.0
iteration=26 	 commit=c912050a7b6713753c603cc245bc199a0aa7f5d6 	 equal=12 	 total=26 	 percentage=46.15384615384615
iteration=27 	 commit=113213416cff40304cffeb26ffea0d21d7f31405 	 equal=12 	 total=27 	 percentage=44.44444444444444
iteration=28 	 commit=bd757acf269ea97f1fe0ae0ef149f2372ebe786a 	 equal=12 	 total=28 	 percentage=42.857142857142854
iteration=29 	 commit=a7f0bcb3a6b7864b70300a7cc6d1a424a08bbe27 	 equal=12 	 total=29 	 percentage=41.37931034482759
iteration=30 	 commit=7976b3c3e30ca7e8135cba0bffaf907370e7769f 	 equal=13 	 total=30 	 percentage=43.333333333333336
iteration=31 	 commit=012d36f643b1fbac907b78ac96f08f5e479c67c1 	 equal=13 	 total=31 	 percentage=41.935483870967744
iteration=32 	 commit=68dfa9e52604b669ac9895ff5ccbecd99e3ddc47 	 equal=14 	 total=32 	 percentage=43.75
iteration=33 	 commit=416bb9320f31fcd97b092b95bc08c1db5af8bd7a 	 equal=15 	 total=33 	 percentage=45.45454545454545
iteration=34 	 commit=f2b8961f5869d8d0b1419ce6d69aa0160dfe3a46 	 equal=16 	 total=34 	 percentage=47.05882352941176
iteration=35 	 commit=6a3805c25bca88a4fa987024046f302148416789 	 equal=16 	 total=35 	 percentage=45.714285714285715
iteration=36 	 commit=cf247ebffefe5cec5ce94c6aa2d3f15089fd7a43 	 equal=16 	 total=36 	 percentage=44.44444444444444
iteration=37 	 commit=0ea69cdfa9ef7318b6446695badbf31944126131 	 equal=17 	 total=37 	 percentage=45.94594594594595
iteration=38 	 commit=8bf54399a32493f4f45676a577ce74ac845e7ba9 	 equal=17 	 total=38 	 percentage=44.73684210526316
iteration=39 	 commit=4da9d314bcd133f10e4285a54cc496d8555b1f6a 	 equal=17 	 total=39 	 percentage=43.58974358974359
