nohup: ignoring input
iteration=0 	 commit=89d9ef3ee83c6cd0b048b3dc8dabddfe690b5579 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=ebc50097933a59ac7f2e2477b0b25f2342a19d03 	 equal=0 	 total=1 	 percentage=0.0
iteration=2 	 commit=b66ce0bba83febe2f4d119097a0391f5d886c3b4 	 equal=0 	 total=2 	 percentage=0.0
iteration=3 	 commit=50f6feb9c9d4e8fa92cbaa91199604644e3d87a0 	 equal=0 	 total=3 	 percentage=0.0
iteration=4 	 commit=d7c7425cd100b0d193cf0de1e65b9bd01fd3dc0c 	 equal=0 	 total=4 	 percentage=0.0
iteration=5 	 commit=b094e814fa15824fe4764164e53c7be3135b74e1 	 equal=0 	 total=5 	 percentage=0.0
iteration=6 	 commit=655cf3f46f4dc8d2919aca70bb4aaddeeedf54bc 	 equal=0 	 total=6 	 percentage=0.0
iteration=7 	 commit=3f8655db97952c77dede0677b90671fc2a9c9537 	 equal=0 	 total=7 	 percentage=0.0
iteration=8 	 commit=2489c1d024906d0f72bbcf709aeb53a24602c219 	 equal=0 	 total=8 	 percentage=0.0
iteration=9 	 commit=ea6e8f998dc1a4d465fb8d44c4fad93940ca8280 	 equal=0 	 total=9 	 percentage=0.0
iteration=10 	 commit=382fb056b59c9b54e3d4bf8f2329f3bc5c7d40e0 	 equal=0 	 total=10 	 percentage=0.0
iteration=11 	 commit=48ed5a74bdf24c630b99b063fa79b1a79c2ae5f3 	 equal=0 	 total=11 	 percentage=0.0
iteration=12 	 commit=5bc5f0762f4d4afc39f739ce2693aa2512521daf 	 equal=0 	 total=12 	 percentage=0.0
iteration=13 	 commit=c41bc10da31a4a4e5416270110b6d1b79606cad1 	 equal=0 	 total=13 	 percentage=0.0
iteration=14 	 commit=4fd69f3e27e4ef2f8fafa091e723497017c40646 	 equal=0 	 total=14 	 percentage=0.0
iteration=15 	 commit=b057239b3f65c8dd9d472fc878214ea4b1d852d3 	 equal=0 	 total=15 	 percentage=0.0
iteration=16 	 commit=d05317cee5eb2bd35269b7706a8850c6c3097de3 	 equal=0 	 total=16 	 percentage=0.0
iteration=17 	 commit=f550977295edf8e5a44ccc365110ac7c2ad06000 	 equal=0 	 total=17 	 percentage=0.0
iteration=18 	 commit=b26d581d66bd5258307761c421e22c17989c838c 	 equal=0 	 total=18 	 percentage=0.0
iteration=19 	 commit=6117700e2c5db0baf7844f04c38ccdd39d389091 	 equal=0 	 total=19 	 percentage=0.0
iteration=20 	 commit=004fe9de53ec33133e6cafbe5850ebc9a1d1cdcf 	 equal=0 	 total=20 	 percentage=0.0
iteration=21 	 commit=61de92979b530afb013add8f7e4d293930dd8e8e 	 equal=0 	 total=21 	 percentage=0.0
iteration=22 	 commit=aeaf02c0a3e8cf2df8dfcfe7d73b1378beffc0f0 	 equal=0 	 total=22 	 percentage=0.0
iteration=23 	 commit=cf4893f7b3c64f84aad50e00693ea6ec911ca0bc 	 equal=0 	 total=23 	 percentage=0.0
iteration=24 	 commit=96889d195b11e8c73e530856c83c6057e10a27a0 	 equal=0 	 total=24 	 percentage=0.0
iteration=25 	 commit=9e0ca5a19f86299efee67598ccd4b797dc219002 	 equal=0 	 total=25 	 percentage=0.0
iteration=26 	 commit=a0a0f3be93753e387e31e7de95904a24b3c876dd 	 equal=0 	 total=26 	 percentage=0.0
iteration=27 	 commit=a2fe74c08a9bd03cf5515b9e44d2005538b9f619 	 equal=0 	 total=27 	 percentage=0.0
iteration=28 	 commit=346c3a930c50b20d6f65dd7d751b8b7284582214 	 equal=0 	 total=28 	 percentage=0.0
iteration=29 	 commit=ce0871e15cdb68e505ccd9d9c96ff8455ed936ab 	 equal=0 	 total=29 	 percentage=0.0
iteration=30 	 commit=e03590c9adfed2856866b5b1edaaf339b4523913 	 equal=0 	 total=30 	 percentage=0.0
iteration=31 	 commit=274a1b5bec980ababa23e267a8fdcd8b71a5b2b7 	 equal=0 	 total=31 	 percentage=0.0
iteration=32 	 commit=d7cb33cf44aa688f24215c9cd398c1a26f0d25ff 	 equal=0 	 total=32 	 percentage=0.0
iteration=33 	 commit=a075d256fd9ff15590b86d981b75a50ead124fca 	 equal=0 	 total=33 	 percentage=0.0
iteration=34 	 commit=04d4124c15442125af6edea3dd53dcbd500f7cba 	 equal=0 	 total=34 	 percentage=0.0
iteration=35 	 commit=652dd12a858989b14eed4e84e453059cd3ba340e 	 equal=0 	 total=35 	 percentage=0.0
iteration=36 	 commit=d19bab68f49e641a8551ef22cf3cee9a0144deea 	 equal=0 	 total=36 	 percentage=0.0
iteration=37 	 commit=f2ad86fa600885429a6083aaf6926c7e2e5b24d6 	 equal=0 	 total=37 	 percentage=0.0
iteration=38 	 commit=b041d829a211072bdab0026219b5a428268648d4 	 equal=0 	 total=38 	 percentage=0.0
iteration=39 	 commit=176115c664f2a0ebe1d3784935a4055b52d0065f 	 equal=0 	 total=39 	 percentage=0.0
iteration=40 	 commit=8626648790f948e06fc0ff1f576cd320c5c36b39 	 equal=0 	 total=40 	 percentage=0.0
iteration=41 	 commit=85a35ba068c7b4e639bbe01db1e09263d910199c 	 equal=0 	 total=41 	 percentage=0.0
iteration=42 	 commit=46084436953d712b3b8c7aff542c1b288695ff1d 	 equal=0 	 total=42 	 percentage=0.0
iteration=43 	 commit=a20a6022e0d58f49a2fe50f08e4618d42ea649a3 	 equal=0 	 total=43 	 percentage=0.0
iteration=44 	 commit=411f98039ed21823247efc1ad5b65259d4ec8080 	 equal=0 	 total=44 	 percentage=0.0
iteration=45 	 commit=e16d729d9d57953bf28c96c8313b59a6bd441269 	 equal=0 	 total=45 	 percentage=0.0
iteration=46 	 commit=8eb0693746569ae5d8da85d2f113fdb141b4d695 	 equal=0 	 total=46 	 percentage=0.0
iteration=47 	 commit=7fe9addcbc54ffc08a8488434c021b1d35c57dd0 	 equal=0 	 total=47 	 percentage=0.0
iteration=48 	 commit=1089111142e7df96e14b2113235860cc4e7fa54e 	 equal=0 	 total=48 	 percentage=0.0
iteration=49 	 commit=4f2693a1efb499c18d909149b8141f40c190fc2f 	 equal=0 	 total=49 	 percentage=0.0
iteration=50 	 commit=4a0c0e63a318b565595ee6985c3958f3d8a050ae 	 equal=0 	 total=50 	 percentage=0.0
iteration=51 	 commit=b0e6eb97d99cfe19077aaafc99f4894af46443ef 	 equal=0 	 total=51 	 percentage=0.0
iteration=52 	 commit=daf2d9c3deda5f8750d7f7b1402a505751da0133 	 equal=0 	 total=52 	 percentage=0.0
iteration=53 	 commit=d54564ea0099ce6c52052e395585b85f7b9a3eaf 	 equal=0 	 total=53 	 percentage=0.0
iteration=54 	 commit=0a6a79b21871cccaff059944d97ecaf93f83784f 	 equal=0 	 total=54 	 percentage=0.0
iteration=55 	 commit=a3aca2031648b59b8e7a399b20fcd3676668dbd7 	 equal=0 	 total=55 	 percentage=0.0
iteration=56 	 commit=15111c82c2f58acfd788c80a54624e1598370f17 	 equal=0 	 total=56 	 percentage=0.0
iteration=57 	 commit=2017cae6dfd020355f1a4e8f209e99d4d19e1fab 	 equal=0 	 total=57 	 percentage=0.0
iteration=58 	 commit=be889b658175606788de0a1ec1577cae80097694 	 equal=0 	 total=58 	 percentage=0.0
iteration=59 	 commit=57b3abd592373ad9e4aacdbf41e00612afb2ccf7 	 equal=0 	 total=59 	 percentage=0.0
iteration=60 	 commit=8be44aeb16704f5f8a1355523b72402d7bb99b16 	 equal=0 	 total=60 	 percentage=0.0
iteration=61 	 commit=9edc20c154234ede9cde4002367a7239bde680ce 	 equal=0 	 total=61 	 percentage=0.0
iteration=62 	 commit=b14649e3976df2501e6803d05127dfa91f2b0991 	 equal=0 	 total=62 	 percentage=0.0
iteration=63 	 commit=fcd4c5b824cc64ceec93e2dcfd136863483839c6 	 equal=0 	 total=63 	 percentage=0.0
iteration=64 	 commit=ea53fc18bccd88a5a010e63bf5d94b2f3f7a6fc8 	 equal=0 	 total=64 	 percentage=0.0
iteration=65 	 commit=96535657651b3a5a92a53c9d32d07ee039ad1767 	 equal=0 	 total=65 	 percentage=0.0
iteration=66 	 commit=9b8ef34dc9c24bfe325edd15aaf0ec00326f04e9 	 equal=0 	 total=66 	 percentage=0.0
iteration=67 	 commit=d12be00da8b67bea013524cabad82cee62423a1a 	 equal=0 	 total=67 	 percentage=0.0
iteration=68 	 commit=5408c10c37c79f3f4b55700b9d89edb79ff5f9a5 	 equal=0 	 total=68 	 percentage=0.0
iteration=69 	 commit=1c7d91abe404333cb29f547ae7e844467befc53a 	 equal=0 	 total=69 	 percentage=0.0
iteration=70 	 commit=f480f7509c65170083f7bba8f3c5beda0cb8d2df 	 equal=0 	 total=70 	 percentage=0.0
iteration=71 	 commit=247cfa27ccaa50421b4e127dd6ea13aa5fe59549 	 equal=0 	 total=71 	 percentage=0.0
iteration=72 	 commit=96dc7f4ae6f3f7cdf213aefefaac253b34be73aa 	 equal=0 	 total=72 	 percentage=0.0
iteration=73 	 commit=18d1f9d42ad52e0ce36f13e1dd73430dcf75c867 	 equal=0 	 total=73 	 percentage=0.0
iteration=74 	 commit=eab86522163ec52602a020f62baa9f6cf87ec870 	 equal=0 	 total=74 	 percentage=0.0
iteration=75 	 commit=6010a5369f55dab2b724045fc9b68cb14313da35 	 equal=0 	 total=75 	 percentage=0.0
iteration=76 	 commit=8f5ccada05ddd4a1ff8e399ad39fc7cd4bd33325 	 equal=0 	 total=76 	 percentage=0.0
iteration=77 	 commit=53983804ce7f8a9fbe2316286e74bc9f60629694 	 equal=0 	 total=77 	 percentage=0.0
iteration=78 	 commit=a647e430259fc663c63caa502f0cee8c94e2d06d 	 equal=0 	 total=78 	 percentage=0.0
iteration=79 	 commit=67c2e78b810f9d0644f8cbd450527b81821c99bd 	 equal=0 	 total=79 	 percentage=0.0
iteration=80 	 commit=21217dd94cdc3726ee981c332ed61012a1438fce 	 equal=0 	 total=80 	 percentage=0.0
iteration=81 	 commit=7abc6e6a24ee571001eaecb26916dbfd3602c76a 	 equal=0 	 total=81 	 percentage=0.0
iteration=82 	 commit=f4a74bf0ae6fa46ec9817536f2496f375e0f4bf4 	 equal=0 	 total=82 	 percentage=0.0
