nohup: ignoring input
iteration=0 	 commit=8426d9b4d4df1da3c5b2d759e509ae1c50a86667 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=1f3c6f4534c6411313361697d98d1145a1f030fa 	 equal=0 	 total=1 	 percentage=0.0
iteration=2 	 commit=25b143dd34fb587d1e35290c4b25bc08954800e2 	 equal=0 	 total=2 	 percentage=0.0
iteration=3 	 commit=5d708c3f9cae12820e415d4f89c9eacbe2ab964b 	 equal=0 	 total=3 	 percentage=0.0
iteration=4 	 commit=8dd2c912d299b84566c6f6d659336edfa9b18e9b 	 equal=1 	 total=4 	 percentage=25.0
iteration=5 	 commit=05ac2409ee9ea312124bf71dcc93711d652e265b 	 equal=2 	 total=5 	 percentage=40.0
iteration=6 	 commit=597a53bbc681089d85b082b46c2e2428dec43b86 	 equal=2 	 total=6 	 percentage=33.33333333333333
iteration=7 	 commit=86ec152433baf8daf39f03a59c6842cbe33a179d 	 equal=2 	 total=7 	 percentage=28.57142857142857
iteration=8 	 commit=cf613cdc6fa367257fc61c256f63d917350858b5 	 equal=3 	 total=8 	 percentage=37.5
iteration=9 	 commit=066e0f93c4901e601d93e31fb700f8f66f95feb8 	 equal=3 	 total=9 	 percentage=33.33333333333333
iteration=10 	 commit=0bfc572e51d9035a615ef6e9523f736c9ffa8e57 	 equal=3 	 total=10 	 percentage=30.0
iteration=11 	 commit=1de95e97ef65632a88e08b6184bd9d1ceba7ec2f 	 equal=3 	 total=11 	 percentage=27.27272727272727
iteration=12 	 commit=ad3942adba574c9d008c99ce2785a5af19d146bf 	 equal=3 	 total=12 	 percentage=25.0
iteration=13 	 commit=48835c76c8df62fab4827a9835b351718d20df4b 	 equal=3 	 total=13 	 percentage=23.076923076923077
iteration=14 	 commit=6b3e116d44eed387aa93126c48eae8a64b38bfc2 	 equal=4 	 total=14 	 percentage=28.57142857142857
iteration=15 	 commit=e8deac5a41ffd644aaa78fda6d4bd5caa72cb077 	 equal=4 	 total=15 	 percentage=26.666666666666668
iteration=16 	 commit=bfbff3703edae789fa5efa9bf174f8e7cff4ded8 	 equal=4 	 total=16 	 percentage=25.0
iteration=17 	 commit=74d99057a5146755e737c479850f87fd0e3b6868 	 equal=4 	 total=17 	 percentage=23.52941176470588
iteration=18 	 commit=1fce5bea817de50e055a84c153a975f25bfcf493 	 equal=4 	 total=18 	 percentage=22.22222222222222
iteration=19 	 commit=3699446aaf5c7a07af028b1ae43cf52d2d4dda59 	 equal=4 	 total=19 	 percentage=21.052631578947366
iteration=20 	 commit=0e5071b5fbcc244d9f8c4bae82e327ad59bccc3f 	 equal=4 	 total=20 	 percentage=20.0
iteration=21 	 commit=87a9573b2eb3f1da8e438f92ade994160d930b09 	 equal=4 	 total=21 	 percentage=19.047619047619047
iteration=22 	 commit=deac067ed39a44c001599c0d15de09872496b2aa 	 equal=5 	 total=22 	 percentage=22.727272727272727
iteration=23 	 commit=2ff34717227b8046b0fdcb96206f11f5e888664e 	 equal=5 	 total=23 	 percentage=21.73913043478261
iteration=24 	 commit=9db4bfed6bb9d5828c99c0f24749eedf54d70cc2 	 equal=5 	 total=24 	 percentage=20.833333333333336
