nohup: ignoring input
iteration=0 	 commit=5390a119a3cdf58ea03effac83910cd35eab23f6 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=7a429c3cf9fba67ee736a52aa4f12e0c177f1405 	 equal=2 	 total=2 	 percentage=100.0
iteration=2 	 commit=4d145b54616a247a80d8a85c4df98851628cfcfc 	 equal=2 	 total=4 	 percentage=50.0
iteration=3 	 commit=eb10061228457efa89bee693e5fb285290d81dfc 	 equal=2 	 total=6 	 percentage=33.33333333333333
iteration=4 	 commit=88f158d3fd1e298ef425fafe84456f67c7f9a17c 	 equal=4 	 total=8 	 percentage=50.0
iteration=5 	 commit=838e5ecf576b41323f657cdc5f8779bcc7d843c8 	 equal=4 	 total=10 	 percentage=40.0
iteration=6 	 commit=7e0bf20c1aa7859565b0c6d3b1f78efcce949617 	 equal=4 	 total=12 	 percentage=33.33333333333333
iteration=7 	 commit=beb5519f723cd84d8d4afa989118df5fffbe50fb 	 equal=4 	 total=14 	 percentage=28.57142857142857
iteration=8 	 commit=49ee0593c690bada2f17370dcf5b8f387998c040 	 equal=4 	 total=16 	 percentage=25.0
iteration=9 	 commit=f5d3f401be27c2e57a9eb962a9edea35b3ba9574 	 equal=4 	 total=18 	 percentage=22.22222222222222
iteration=10 	 commit=0eb4b4b578f02bbfd507039ab1077cbb1fde5aef 	 equal=4 	 total=20 	 percentage=20.0
iteration=11 	 commit=85fc5394a8fd785486a7c73630d320f459a7a281 	 equal=4 	 total=22 	 percentage=18.181818181818183
iteration=12 	 commit=b02ecd63f279691913aa58ecf3524db95dc565aa 	 equal=6 	 total=24 	 percentage=25.0
iteration=13 	 commit=373bad5cd0a8996beed271228e9131833a7ba8ce 	 equal=8 	 total=26 	 percentage=30.76923076923077
iteration=14 	 commit=652ff5ea5ec6df2c4343ff730dee5e7893138104 	 equal=10 	 total=28 	 percentage=35.714285714285715
iteration=15 	 commit=b8dab63b747b61de6678d6e8cd852daebd44c27e 	 equal=12 	 total=30 	 percentage=40.0
iteration=16 	 commit=57c948fa0656ef3ec3cbf24581460da4a9441106 	 equal=12 	 total=32 	 percentage=37.5
iteration=17 	 commit=602f39aa5c00f2dd2a61f1b4a781720ae3bc6070 	 equal=12 	 total=34 	 percentage=35.294117647058826
iteration=18 	 commit=b2f14ccbf4e5aef7489d2da45c03cacf8db67953 	 equal=14 	 total=36 	 percentage=38.88888888888889
iteration=19 	 commit=bcdb1219e302103b5676e007893a88c3707be26e 	 equal=16 	 total=38 	 percentage=42.10526315789473
iteration=20 	 commit=a06839fe32b95af3caa5479218d80d705d8d78a5 	 equal=16 	 total=40 	 percentage=40.0
iteration=21 	 commit=ceba74e5a372f3b48cffd30fa6d30a8ff3b13556 	 equal=16 	 total=42 	 percentage=38.095238095238095
iteration=22 	 commit=e9d5731ba254f35e2d94b628c51e48c50a945271 	 equal=16 	 total=44 	 percentage=36.36363636363637
