nohup: ignoring input
iteration=0 	 commit=df8a4ee51e18a39f85568c4122e5edd8c03d61df 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=bd9fb431941916174e1c3b2201bf5f422bcf61bd 	 equal=0 	 total=2 	 percentage=0.0
iteration=2 	 commit=34a44e5b95230b1ed03bb030e9963d0187b01951 	 equal=2 	 total=4 	 percentage=50.0
iteration=3 	 commit=bdd8db389c7b09cd9042267f36214f809e4c5f60 	 equal=4 	 total=6 	 percentage=66.66666666666666
iteration=4 	 commit=ab72205dd14efe9c5c8d12e6b1ae538208bce168 	 equal=4 	 total=8 	 percentage=50.0
iteration=5 	 commit=022ccd4e1c61f4e89c7ffad83d9a5a896f65dc40 	 equal=4 	 total=10 	 percentage=40.0
iteration=6 	 commit=776257d0c20d4e3ae8d66683ab0f087bf6fc7b0f 	 equal=4 	 total=12 	 percentage=33.33333333333333
iteration=7 	 commit=d80e7aac3366f93865581a783751abb528c120b3 	 equal=4 	 total=14 	 percentage=28.57142857142857
iteration=8 	 commit=fee13e935e4c9eaadff434436eaceeb13afcfc13 	 equal=4 	 total=16 	 percentage=25.0
iteration=9 	 commit=79c588912f41aa6ee81ea058e7e649199a252f90 	 equal=6 	 total=18 	 percentage=33.33333333333333
iteration=10 	 commit=8c8c0034ae88c06616ace5e5ead71318f04311cf 	 equal=8 	 total=20 	 percentage=40.0
iteration=11 	 commit=3e0408966ccdd713de7795ce7992888b3896b49c 	 equal=10 	 total=22 	 percentage=45.45454545454545
iteration=12 	 commit=b4127fb1c45fe5dcabe3751f0b40029405224f49 	 equal=12 	 total=24 	 percentage=50.0
iteration=13 	 commit=a8e93f46df9feb7f7241826307af51befdb25d9e 	 equal=12 	 total=26 	 percentage=46.15384615384615
iteration=14 	 commit=07180b86786cce95df4e2433a7cf3e006749a0f5 	 equal=12 	 total=28 	 percentage=42.857142857142854
iteration=15 	 commit=c4af5981ab2a5f42a9a1194bb5929c2151fc2674 	 equal=12 	 total=30 	 percentage=40.0
iteration=16 	 commit=5fc6d9fcb41966b85dc67117531c81ec89f42f20 	 equal=12 	 total=32 	 percentage=37.5
iteration=17 	 commit=a801b46e1e792b5d0a34f97de870c485e0ef312a 	 equal=12 	 total=34 	 percentage=35.294117647058826
iteration=18 	 commit=eb6de58de5ef8c2ddeeed386e0b8b498b945797f 	 equal=14 	 total=36 	 percentage=38.88888888888889
iteration=19 	 commit=853b2251d4e11f14cd891bf1b6095ee36683d161 	 equal=14 	 total=38 	 percentage=36.84210526315789
iteration=20 	 commit=0a8311929ba599d7b0a35e83b1f5dec4a3c9da06 	 equal=14 	 total=40 	 percentage=35.0
iteration=21 	 commit=0e35441513bdce2471113b937bccb8928c7c9d9f 	 equal=14 	 total=42 	 percentage=33.33333333333333
iteration=22 	 commit=ba91b95f6e504cce08825e83a567a554ac846e39 	 equal=14 	 total=44 	 percentage=31.818181818181817
iteration=23 	 commit=9bfe4b43216bce4e702d7d8f61fc7cb9acdbb8f6 	 equal=14 	 total=46 	 percentage=30.434782608695656
iteration=24 	 commit=690ea9e5c900268556431df71bdac38f5e74dc36 	 equal=14 	 total=48 	 percentage=29.166666666666668
iteration=25 	 commit=f3551055dab57eb0bc544070b15c6a7435585003 	 equal=14 	 total=50 	 percentage=28.000000000000004
iteration=26 	 commit=4cc89c79f58cb416aae8396190a788e1398113ff 	 equal=14 	 total=52 	 percentage=26.923076923076923
iteration=27 	 commit=8821c04f36cb737776cd9077a46f1a9f86ca54e7 	 equal=14 	 total=54 	 percentage=25.925925925925924
iteration=28 	 commit=afb053d652cc1f670465d471f671652b112dbf51 	 equal=14 	 total=56 	 percentage=25.0
iteration=29 	 commit=0a79dc3036111e86a11bd290057da6674da3b311 	 equal=14 	 total=58 	 percentage=24.137931034482758
iteration=30 	 commit=b60de1700d95d022ec0d1676886b0442cb763473 	 equal=14 	 total=60 	 percentage=23.333333333333332
iteration=31 	 commit=6bb508acd9a79671e5e9defc7b92a943fb880cda 	 equal=14 	 total=62 	 percentage=22.58064516129032
iteration=32 	 commit=390109044bdef1ba67c2339bffaf11b38261854d 	 equal=14 	 total=64 	 percentage=21.875
iteration=33 	 commit=f75c0f5c3f9d63334cc21e0ab68f1af45d0037cc 	 equal=16 	 total=66 	 percentage=24.242424242424242
iteration=34 	 commit=a669ad5cfb28cdfcfe38bbce39fbf8c6fc3102d9 	 equal=16 	 total=68 	 percentage=23.52941176470588
iteration=35 	 commit=4f9b3d8d8d17863873a8a399ff3fe212d247b236 	 equal=16 	 total=70 	 percentage=22.857142857142858
iteration=36 	 commit=2bf6f2275c49f94e84f935653d6c42f6b5f9b364 	 equal=16 	 total=72 	 percentage=22.22222222222222
iteration=37 	 commit=6f2bc64e09b7f5e5be6962840ede40369b78fd5e 	 equal=16 	 total=74 	 percentage=21.62162162162162
iteration=38 	 commit=5e7931c4c9fdaba8b3343d04eda6e9eb2a2e3dcd 	 equal=16 	 total=76 	 percentage=21.052631578947366
iteration=39 	 commit=3fdb7ea7b6a1ed4add2fbc6dca7a38b27fc79f45 	 equal=18 	 total=78 	 percentage=23.076923076923077
iteration=40 	 commit=4b96c8399102a36e542c9da3b34650c26ccdda3c 	 equal=20 	 total=80 	 percentage=25.0
