nohup: ignoring input
iteration=0 	 commit=6e25cb08 	 equal=0 	 total=0 	 percentage=0.0
iteration=1 	 commit=85cb6014 	 equal=0 	 total=1 	 percentage=0.0
iteration=2 	 commit=fa1b393b 	 equal=0 	 total=2 	 percentage=0.0
iteration=3 	 commit=4565f711 	 equal=0 	 total=3 	 percentage=0.0
iteration=4 	 commit=e97c6ad4 	 equal=0 	 total=4 	 percentage=0.0
iteration=5 	 commit=eee6de19 	 equal=0 	 total=5 	 percentage=0.0
iteration=6 	 commit=c006515a 	 equal=0 	 total=6 	 percentage=0.0
iteration=7 	 commit=22cc55e8 	 equal=0 	 total=7 	 percentage=0.0
iteration=8 	 commit=1269206d 	 equal=0 	 total=8 	 percentage=0.0
iteration=9 	 commit=f815cf4a 	 equal=0 	 total=9 	 percentage=0.0
iteration=10 	 commit=b4716018 	 equal=0 	 total=10 	 percentage=0.0
iteration=11 	 commit=ae3e322a 	 equal=0 	 total=11 	 percentage=0.0
iteration=12 	 commit=0e909e34 	 equal=0 	 total=12 	 percentage=0.0
iteration=13 	 commit=9a206e37 	 equal=0 	 total=13 	 percentage=0.0
iteration=14 	 commit=031381ae 	 equal=0 	 total=14 	 percentage=0.0
iteration=15 	 commit=245d0241 	 equal=0 	 total=15 	 percentage=0.0
iteration=16 	 commit=36653cce 	 equal=0 	 total=16 	 percentage=0.0
iteration=17 	 commit=a7a5af32 	 equal=0 	 total=17 	 percentage=0.0
iteration=18 	 commit=38e057a5 	 equal=0 	 total=18 	 percentage=0.0
iteration=19 	 commit=fa346760 	 equal=0 	 total=19 	 percentage=0.0
iteration=20 	 commit=5b8d2577 	 equal=0 	 total=20 	 percentage=0.0
iteration=21 	 commit=32a3a53b 	 equal=0 	 total=21 	 percentage=0.0
iteration=22 	 commit=46744b83 	 equal=0 	 total=22 	 percentage=0.0
iteration=23 	 commit=fc4c82e5 	 equal=0 	 total=23 	 percentage=0.0
iteration=24 	 commit=1a7d8bb5 	 equal=0 	 total=24 	 percentage=0.0
iteration=25 	 commit=1ec747d1 	 equal=0 	 total=25 	 percentage=0.0
iteration=26 	 commit=c404c8c7 	 equal=0 	 total=26 	 percentage=0.0
iteration=27 	 commit=70049342 	 equal=0 	 total=27 	 percentage=0.0
iteration=28 	 commit=9f67ad00 	 equal=0 	 total=28 	 percentage=0.0
iteration=29 	 commit=f9b76304 	 equal=0 	 total=29 	 percentage=0.0
iteration=30 	 commit=e35ab16d 	 equal=0 	 total=30 	 percentage=0.0
iteration=31 	 commit=bb0f056b 	 equal=0 	 total=31 	 percentage=0.0
iteration=32 	 commit=403e7ac9 	 equal=0 	 total=32 	 percentage=0.0
iteration=33 	 commit=52559af0 	 equal=0 	 total=33 	 percentage=0.0
iteration=34 	 commit=41d8d26e 	 equal=0 	 total=34 	 percentage=0.0
iteration=35 	 commit=00b1b702 	 equal=0 	 total=35 	 percentage=0.0
iteration=36 	 commit=1b528e31 	 equal=0 	 total=36 	 percentage=0.0
iteration=37 	 commit=10dbc278 	 equal=0 	 total=37 	 percentage=0.0
iteration=38 	 commit=fd42f4c3 	 equal=0 	 total=38 	 percentage=0.0
iteration=39 	 commit=070fae3a 	 equal=0 	 total=39 	 percentage=0.0
iteration=40 	 commit=ca96ab3e 	 equal=0 	 total=40 	 percentage=0.0
iteration=41 	 commit=3ec6141c 	 equal=0 	 total=41 	 percentage=0.0
iteration=42 	 commit=f8766231 	 equal=0 	 total=42 	 percentage=0.0
iteration=43 	 commit=539cef52 	 equal=0 	 total=43 	 percentage=0.0
iteration=44 	 commit=639fc763 	 equal=0 	 total=44 	 percentage=0.0
iteration=45 	 commit=454af487 	 equal=0 	 total=45 	 percentage=0.0
iteration=46 	 commit=c10ed4a7 	 equal=0 	 total=46 	 percentage=0.0
iteration=47 	 commit=8c9f3501 	 equal=0 	 total=47 	 percentage=0.0
iteration=48 	 commit=d4e40245 	 equal=0 	 total=48 	 percentage=0.0
iteration=49 	 commit=312642d9 	 equal=0 	 total=49 	 percentage=0.0
iteration=50 	 commit=1e227ad9 	 equal=0 	 total=50 	 percentage=0.0
iteration=51 	 commit=ae088cbc 	 equal=0 	 total=51 	 percentage=0.0
iteration=52 	 commit=64fa9e8c 	 equal=0 	 total=52 	 percentage=0.0
iteration=53 	 commit=a8db6941 	 equal=0 	 total=53 	 percentage=0.0
iteration=54 	 commit=e9361d72 	 equal=0 	 total=54 	 percentage=0.0
iteration=55 	 commit=d1fbf633 	 equal=0 	 total=55 	 percentage=0.0
iteration=56 	 commit=11df9187 	 equal=0 	 total=56 	 percentage=0.0
iteration=57 	 commit=4aa27b4f 	 equal=0 	 total=57 	 percentage=0.0
iteration=58 	 commit=1f7fa461 	 equal=0 	 total=58 	 percentage=0.0
iteration=59 	 commit=6a45d8fe 	 equal=0 	 total=59 	 percentage=0.0
iteration=60 	 commit=53d44044 	 equal=0 	 total=60 	 percentage=0.0
iteration=61 	 commit=ad7aace7 	 equal=0 	 total=61 	 percentage=0.0
iteration=62 	 commit=42936565 	 equal=0 	 total=62 	 percentage=0.0
iteration=63 	 commit=7a073931 	 equal=0 	 total=63 	 percentage=0.0
iteration=64 	 commit=e4caf1e3 	 equal=0 	 total=64 	 percentage=0.0
iteration=65 	 commit=19247e91 	 equal=0 	 total=65 	 percentage=0.0
iteration=66 	 commit=2f5dc7a9 	 equal=0 	 total=66 	 percentage=0.0
iteration=67 	 commit=4db5217a 	 equal=0 	 total=67 	 percentage=0.0
iteration=68 	 commit=e19a0b13 	 equal=0 	 total=68 	 percentage=0.0
iteration=69 	 commit=71bfd0b5 	 equal=0 	 total=69 	 percentage=0.0
iteration=70 	 commit=ab160e8b 	 equal=0 	 total=70 	 percentage=0.0
iteration=71 	 commit=f426874e 	 equal=0 	 total=71 	 percentage=0.0
iteration=72 	 commit=e799a35f 	 equal=0 	 total=72 	 percentage=0.0
iteration=73 	 commit=aca6c61d 	 equal=0 	 total=73 	 percentage=0.0
iteration=74 	 commit=1ec44d55 	 equal=0 	 total=74 	 percentage=0.0
iteration=75 	 commit=5623497a 	 equal=0 	 total=75 	 percentage=0.0
iteration=76 	 commit=0407c879 	 equal=0 	 total=76 	 percentage=0.0
iteration=77 	 commit=48837766 	 equal=0 	 total=77 	 percentage=0.0
iteration=78 	 commit=092ad64f 	 equal=0 	 total=78 	 percentage=0.0
iteration=79 	 commit=6d2f95a4 	 equal=0 	 total=79 	 percentage=0.0
iteration=80 	 commit=7ac91b53 	 equal=0 	 total=80 	 percentage=0.0
iteration=81 	 commit=bff9153c 	 equal=0 	 total=81 	 percentage=0.0
iteration=82 	 commit=38d9dbca 	 equal=0 	 total=82 	 percentage=0.0
iteration=83 	 commit=9282bcde 	 equal=0 	 total=83 	 percentage=0.0
iteration=84 	 commit=02aaa10f 	 equal=0 	 total=84 	 percentage=0.0
iteration=85 	 commit=8ded3f5b 	 equal=0 	 total=85 	 percentage=0.0
iteration=86 	 commit=adebb9d7 	 equal=0 	 total=86 	 percentage=0.0
iteration=87 	 commit=4cbb3e3e 	 equal=0 	 total=87 	 percentage=0.0
iteration=88 	 commit=71272caf 	 equal=0 	 total=88 	 percentage=0.0
iteration=89 	 commit=68bffc61 	 equal=0 	 total=89 	 percentage=0.0
iteration=90 	 commit=2d6a16ca 	 equal=0 	 total=90 	 percentage=0.0
iteration=91 	 commit=b6a82f3c 	 equal=0 	 total=91 	 percentage=0.0
iteration=92 	 commit=7ae596dd 	 equal=0 	 total=92 	 percentage=0.0
iteration=93 	 commit=33c6b8e9 	 equal=0 	 total=93 	 percentage=0.0
iteration=94 	 commit=ef4dcd10 	 equal=0 	 total=94 	 percentage=0.0
iteration=95 	 commit=23f04266 	 equal=0 	 total=95 	 percentage=0.0
iteration=96 	 commit=01bd266e 	 equal=0 	 total=96 	 percentage=0.0
iteration=97 	 commit=728e9dcc 	 equal=0 	 total=97 	 percentage=0.0
iteration=98 	 commit=fdf9ed66 	 equal=0 	 total=98 	 percentage=0.0
iteration=99 	 commit=4bb78ce8 	 equal=0 	 total=99 	 percentage=0.0
iteration=100 	 commit=fef72368 	 equal=0 	 total=100 	 percentage=0.0
iteration=101 	 commit=da0af4dd 	 equal=0 	 total=101 	 percentage=0.0
iteration=102 	 commit=5232c977 	 equal=0 	 total=102 	 percentage=0.0
iteration=103 	 commit=13e9ff9e 	 equal=0 	 total=103 	 percentage=0.0
iteration=104 	 commit=e199a851 	 equal=0 	 total=104 	 percentage=0.0
iteration=105 	 commit=1d1fe03c 	 equal=0 	 total=105 	 percentage=0.0
iteration=106 	 commit=8e619c21 	 equal=0 	 total=106 	 percentage=0.0
iteration=107 	 commit=73c2b502 	 equal=0 	 total=107 	 percentage=0.0
iteration=108 	 commit=c76a4c0b 	 equal=0 	 total=108 	 percentage=0.0
iteration=109 	 commit=0dd6b5fc 	 equal=0 	 total=109 	 percentage=0.0
iteration=110 	 commit=e654b57a 	 equal=0 	 total=110 	 percentage=0.0
iteration=111 	 commit=6fb2a1bb 	 equal=0 	 total=111 	 percentage=0.0
iteration=112 	 commit=f3ea36d7 	 equal=0 	 total=112 	 percentage=0.0
iteration=113 	 commit=a9bfb621 	 equal=0 	 total=113 	 percentage=0.0
iteration=114 	 commit=41ee2bac 	 equal=0 	 total=114 	 percentage=0.0
iteration=115 	 commit=562805cf 	 equal=0 	 total=115 	 percentage=0.0
iteration=116 	 commit=f2887e01 	 equal=0 	 total=116 	 percentage=0.0
iteration=117 	 commit=524c2b87 	 equal=0 	 total=117 	 percentage=0.0
iteration=118 	 commit=2f09b51b 	 equal=0 	 total=118 	 percentage=0.0
iteration=119 	 commit=bb8522fe 	 equal=0 	 total=119 	 percentage=0.0
iteration=120 	 commit=d4870c08 	 equal=0 	 total=120 	 percentage=0.0
iteration=121 	 commit=4711fb69 	 equal=0 	 total=121 	 percentage=0.0
iteration=122 	 commit=416602a8 	 equal=0 	 total=122 	 percentage=0.0
iteration=123 	 commit=155c3e9c 	 equal=0 	 total=123 	 percentage=0.0
iteration=124 	 commit=e773d621 	 equal=0 	 total=124 	 percentage=0.0
iteration=125 	 commit=37e6e10f 	 equal=0 	 total=125 	 percentage=0.0
iteration=126 	 commit=8af8c153 	 equal=0 	 total=126 	 percentage=0.0
iteration=127 	 commit=c75ba4fa 	 equal=0 	 total=127 	 percentage=0.0
